"id","title","description","created_date","img","add_byuser","is_subcategory","parentcategory_id","is_newlaunch","is_special","sort_order","status","show_onwebsite","del_status"
"2362","Welcome & Joining Kit ",,"2024-04-21 10:40:47","f234c08315ab1c735d4f8c1d97d3e985.jpg","Admin",NULL,"0","1","1","5","1",NULL,NULL
"2363","Gourmet & Hampers ",,"2024-04-21 10:40:47","4a2dddbc42b028215a6dde2c1f5a8b9f.jpg","Admin",NULL,"0","1","1","11","1",NULL,NULL
"2364",,,"2024-04-21 10:40:47","3c873feda562867e19e5c3a154165202.jpg","Admin",NULL,"0","1","1","22","1",NULL,NULL
"2367","Acrylic",,"2024-04-21 11:26:26","B2BGifts_R&R_03.webp","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2368","Crystal Trophies",,"2024-04-21 11:26:26","2a8904d0-49e5-49b1-b32b-00320f9f3cd3.jpeg","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2369","Medals & Certificates",,"2024-04-21 11:26:26","9f32c50ae3b64fb6c6dd1c51e5f8fb46.jpg","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2370","Metalic Trophies",,"2024-04-21 11:26:26","B2BGifts_R&R_38.webp","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2371","Momentos",,"2024-04-21 11:26:26","B2BGifts_R&R_41.jpg","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2372","Plaque",,"2024-04-21 11:26:26","B2BGifts_R&R_47.jpg","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2373","shields",,"2024-04-21 11:26:26","B2BGifts_R&R_53.jpg","Admin",NULL,"2351","0","0","0","0",NULL,NULL
"2374","Polo Tshirt ",,"2024-04-21 11:26:26","Polo T-shirts.jpg","Admin",NULL,"2352","1","1","0","1",NULL,NULL
"2375","DRY FIT Tshirt",,"2024-04-21 11:26:26","4bc3d6bd7646fc777ecc06440ff446a4.jpg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2376","CAP",,"2024-04-21 11:26:26","faaf188b-fb91-4ded-aa00-154b023cafa3.jpeg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2377","EYE WAER & MASK",,"2024-04-21 11:26:26","02aecb508ceeed8b9316a647f5f9a0bc.jpg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2378","Hoodies Jacket & Sweatshirt",,"2024-04-21 11:26:26","ee01e7ca8379b3e939ed3bc591d28b0b.jpg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2379","Tie, Cufflink, Wallet ",,"2024-04-21 11:26:26","a1f39510-69f1-45e3-8bc9-d1e233252bf4.jpeg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2380","Uniform",,"2024-04-21 11:26:26","9958ed2310c36d6fc7769e7f0503efab.jpg","Admin",NULL,"2352","0","0","0","0",NULL,NULL
"2381","Brass Idols",,"2024-04-21 11:26:26","81bExr26EhL._SL1500_.jpg","Admin",NULL,"2353","1","1","0","1",NULL,NULL
"2382","Brass, German Silver and Copper Luxury",,"2024-04-21 11:26:26","2cc2568a2271d6c108e04e6e99464482.jpg","Admin",NULL,"2353","0","0","0","0",NULL,NULL
"2383","Pooja Thali & Charan Paduka",,"2024-04-21 11:26:26","07c3ffa4c7a5dc665584a4518af2ad35.jpg","Admin",NULL,"2353","0","0","0","0",NULL,NULL
"2384","Aromatic Candles",,"2024-04-21 11:26:26",,"Admin",NULL,"2353","0","0","0","0",NULL,NULL
"2385","Travel Adapters & Accessory",,"2024-04-21 11:26:26","Universal Travel Converter Adapter Outlet US EU AU UK CN International Plug.jpg","Admin",NULL,"2354","1","1","6","1",NULL,NULL
"2386",,,"2024-04-21 11:26:26","df580aed-e178-425d-b390-118bc9a0cad9.jpeg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2387","Card Holders",,"2024-04-21 11:26:26","2b560048ca5ec8eb75568e4f4f2bd999.jpg","Admin",NULL,"2354","1","1","1","1",NULL,NULL
"2388",,,"2024-04-21 11:26:26","917cd756de801207b6f3b1b25b1556e2.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2389",,,"2024-04-21 11:26:26","promotional-wall-clock.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2390",,,"2024-04-21 11:26:26","5bbac93125c2afba0976b87fc3a97c0d.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2391","Digital Standees",,"2024-04-21 11:26:26","73e38095fa9b1e7e8e5ecd7f45e9bf4b.jpg","Admin",NULL,"2354","1","1","2","1",NULL,NULL
"2392","keychain",,"2024-04-21 11:26:26","EDM.png","Admin",NULL,"2354","1","1","4","1",NULL,NULL
"2393",,,"2024-04-21 11:26:26","4cc79116-c60b-4ad3-83b1-4e429e09cbb3.jpeg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2394","Mobile & Laptop Stand ",,"2024-04-21 11:26:26","4e817f617204a854b853b9aefca0cd9f.jpg","Admin",NULL,"2354","1","1","3","1",NULL,NULL
"2395","Mouse Pad",,"2024-04-21 11:26:26","B2B_BP_102.jpg","Admin",NULL,"2354","1","1","8","1",NULL,NULL
"2396","Multifunctional Pen Stand",,"2024-04-21 11:26:26","B2B_BP_107.jpg","Admin",NULL,"2354","1","1","5","1",NULL,NULL
"2397","Paper Weight",,"2024-04-21 11:26:26","cf304f5de7fd7aea2ab3161645332c61.jpg","Admin",NULL,"2354","1","1","7","1",NULL,NULL
"2398","Passport Holders",,"2024-04-21 11:26:26","B2B_BP_123.jpg","Admin",NULL,"2354","1","1","11","1",NULL,NULL
"2399","Promotional Umbrella",,"2024-04-21 11:26:26","cd7080aa48696b157e5a34859ce06bc6.jpg","Admin",NULL,"2354","1","1","10","1",NULL,NULL
"2400","Wireless Charger",,"2024-04-21 11:26:26","B2B_BP_133.jpg","Admin",NULL,"2354","1","1","9","1",NULL,NULL
"2401","Air Fryer",,"2024-04-21 11:26:26","fdd.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2402","Coffee machine",,"2024-04-21 11:26:26","b1e3cb6a87b7b0cc901e44d981350690.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2403","Egg Boiler",,"2024-04-21 11:26:26","62fb92d837f0cdf20860129d7da4eef6.jpg","Admin",NULL,"2355","1","1","7","1",NULL,NULL
"2404","Hand Blender & Chopper",,"2024-04-21 11:26:26","Hand blender 1.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2405","Electric Kettle ",,"2024-04-21 11:26:26","Eletric kettle 1.jpg","Admin",NULL,"2355","0","0","0","0",NULL,NULL
"2406","Sandwich Grill & Toaster ",,"2024-04-21 11:26:26","grill2.jpg","Admin",NULL,"2355","0","0","0","0",NULL,NULL
"2407",,,"2024-04-21 11:26:26",,"Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2408","Microwave & OTG",,"2024-04-21 11:26:26","Microwave in Use (1).jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2409","Soup Maker",,"2024-04-21 11:26:26","b57ea474685a56fc3c21948ff08490e8.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2410","Iron ",,"2024-04-21 11:26:26","WhatsApp Image 2025-06-01 at 7.47.26 PM.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2411","Induction ",,"2024-04-21 11:26:26","59c6748ed4b8d4db96d63a92c4f98cb0.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2412","Water Purifier ",,"2024-04-21 11:26:26","9cf4ec4195b63cf45bea89c3981b4fa7.jpg","Admin",NULL,"2355","1","1","0","1",NULL,NULL
"2413","Single Wall Bottle, Sippers ",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2414","Insulated Bottle ",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2415","Travel Mug & Tumbler ",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2416","Ceramic Mug",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2417","Bar Set",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2418","Copper Bottle Set",NULL,"2024-04-21 11:26:26",NULL,NULL,NULL,"2356",NULL,NULL,NULL,NULL,NULL,NULL
"2419",,,"2024-04-21 11:26:26","B2B_EF_01.JPG","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2420",,,"2024-04-21 11:26:26","B2B_EF_02.JPG","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2421",,,"2024-04-21 11:26:26","B2B_EF_03.JPG","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2422",,,"2024-04-21 11:26:26","B2B_EF_04.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2423",,,"2024-04-21 11:26:26","carvaan.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2424","BT Speaker ",,"2024-04-21 11:26:26","f4b461e56e6f45052cb2a8961898bf00.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2425","Earbuds",,"2024-04-21 11:26:26","a34ad1d68f5c3f01d7fb21119c556ffe.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2426","Neckband",,"2024-04-21 11:26:26","5c5b0d7e10378878f3789b2364b2c705.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2427","Headphone",,"2024-04-21 11:26:26","8cdbe123010c380e20f264a8fdd57938.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2428","Amazon & Carvaan Speaker",,"2024-04-21 11:26:26","echo dot.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2429",,,"2024-04-21 11:26:26",,"Admin",NULL,"2469","0","0","0","0",NULL,NULL
"2430","Smart Watch",,"2024-04-21 11:26:26","cdcdabfb9b5259236eb5b6a7d4f17666.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2431","Powerbank Diaries",,"2024-04-21 11:26:26","e12c89465134ca8e0b47831a4058c633.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2432","Power bank",,"2024-04-21 11:26:26","12.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2433","All in 1 Chargers",,"2024-04-21 11:26:26","wireless 1.jpg","Admin",NULL,"2358","1","1","0","1",NULL,NULL
"2434","Mobile Phone ",,"2024-04-21 11:26:26","phone.jpg","Admin",NULL,"2358","0","0","0","0",NULL,NULL
"2435","Humidifier",,"2024-04-21 11:26:26","humi.jpg","Admin",NULL,"2358","0","0","0","0",NULL,NULL
"2436","Luxury Luminance",,"2024-04-21 11:26:26","17308c18-f109-4002-8ab4-38132c2fc681.jpeg","Admin",NULL,"2359","1","1","0","1",NULL,NULL
"2437","Backpacks ",,"2024-04-21 11:26:26","5d056eb5-c3f1-4df8-ac62-b06ecf4a419d.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2438","Duffle Bag",,"2024-04-21 11:26:26","bcff6795-eec3-4f0f-b23d-98ec1cf1d180.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2439","Strolley",,"2024-04-21 11:26:26","ba5d681c-bab9-4f2b-8dce-17602573cd9d.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2440","Leather Bags",,"2024-04-21 11:26:26","11332efc-5f35-4551-9e9c-eaea871a323a.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2441","Overnighter",,"2024-04-21 11:26:26","96b0d956-287a-41ca-b8ce-cd2565c526ea.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2442","Laptop bags",,"2024-04-21 11:26:26","9b70e91000e606208b2222aa1aa88521.jpg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2443","Sling Bag",,"2024-04-21 11:26:26","370a33570bc7e9b0962c772219a9a436.jpg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2444","Laptop sleeves",,"2024-04-21 11:26:26","6427da42dfc971fc1e8c904c410cb7c1.jpg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2445","Jute, Canvas bag, Felt febric",,"2024-04-21 11:26:26","347a490c-7055-4937-aaeb-122cad563e75.jpeg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2446","Paper & Promotional carry bag",,"2024-04-21 11:26:26","2aa6ad807b56874662ef7aceb8fc197d.jpg","Admin",NULL,"2360","0","0","0","0",NULL,NULL
"2447","Tiffins Crockery",,"2024-04-21 11:26:26","c17c471913870f8472650eae18d63bf1.jpg","Admin",NULL,"2361","1","1","0","0",NULL,NULL
"2448","Event Conference Kits",,"2024-04-21 11:26:26","5b97c62c8cd32032fca804951797d003_cleanup.jpg","Admin",NULL,"2362","1","1","0","1",NULL,NULL
"2449","Employee Joining Kits",,"2024-04-21 11:26:26","a37ececa-9569-4ec4-b8e2-c35e65f5784e.jpeg","Admin",NULL,"2362","1","1","0","1",NULL,NULL
"2450",,,"2024-04-21 11:26:26",,"Admin",NULL,"2363","1","1","1","1",NULL,NULL
"2451","Diaries & Planners",,"2024-04-21 11:26:26","0391b403bb2a8cdd935563ebc52b4d26.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2452","Pen Drives",,"2024-04-21 11:26:26","0018eb1662de30c3a81c7fbf3385c3dd.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2453","Promotional Pens",,"2024-04-21 11:26:26","c9fa0dd3-d126-4158-a3ec-1d332578bed4.jpeg","Admin",NULL,"2364","1","1","0","1",NULL,NULL
"2454","Branded Pens",,"2024-04-21 11:26:26","B2BGifts-OA-83 (1).webp","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2455","Calenders",,"2024-04-21 11:26:26","B2BGifts-OA-89 (1).png","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2456","Laptop Stand",,"2024-04-21 11:26:26","B2B-OA-97.JPG","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2457","Visiting Card",,"2024-04-21 11:26:26","B2B-OA-102.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2458","ID Card , Lanyard , Pully",,"2024-04-21 11:26:26","B2B-OA-105.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2459","Brochure",,"2024-04-21 11:26:26","B2B-OA-110.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2460","Desk Items",,"2024-04-21 11:26:26","B2B-OA-118.jpg","Admin",NULL,"2364","0","0","0","0",NULL,NULL
"2463","Beauty, Health & Wellness",,"2024-05-18 00:24:22","2cef42e5-30dc-4475-bec6-3f21ffc2fe04.jpeg","Admin",NULL,"0","1","1","10","1","0",NULL
"2464","Personal Hygiene ",,"2024-05-18 00:24:55","cdf340a72a0994b5e1254ee032eb57bc.jpg","Admin",NULL,"2463","1","1","0","1","0",NULL
"2465","Beauty Products",,"2024-05-18 00:25:09","8a3f97243d6d7a3cd92e72137a569200.jpg","Admin",NULL,"2463","1","1","0","1","0",NULL
"2466","Perfumes",,"2024-05-18 00:25:24","3ec429c7171613bfa72d0dcdfa52fb80.jpg","Admin",NULL,"2463","1","1","0","1","0",NULL
"2467","Body Massager",,"2024-05-18 00:25:37","c37e71809c146d38225a1dac18aa7869.jpg","Admin",NULL,"2463","1","1","0","1","0",NULL
"2468","Travel Kit ",,"2024-05-18 00:25:50","6c5daa0c9c0912a63c3c4f63e2b78f94.jpg","Admin",NULL,"2463","1","1","0","1","0",NULL
"2469",,,"2024-05-18 00:28:58","af1b6773-3436-44e2-86e9-136ff54574b0.jpeg","Admin",NULL,"0","1","1","23","1","0",NULL
"2470","Kindle",,"2024-05-18 00:40:17","kindle.jpg","Admin",NULL,"2358","1","1","0","1","0",NULL
"2471",,,"2024-05-30 02:51:03","7c771273747d2f1e608e35aab446e76f.jpg","Admin",NULL,"0","1","1","24","1","0",NULL
"2472","	Fathers Day",,"2024-05-30 03:38:48","b2b gfts.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2473","Bottles & Drinkware ",,"2024-05-30 06:11:48","a4c699c978ffe9698bca0e67a85082a5.jpg","Admin",NULL,"0","1","1","3","1","0",NULL
"2474","Mothers Day",,"2024-05-30 13:47:43","494fea71278cc95017922a3b8df1433b.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2475","Employee Onboard",,"2024-05-30 13:49:48","778cb20dfd61fd42d8a808637277f7a3.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2476","Womens  Day",,"2024-05-30 13:51:09","4cf84283a2eb374672b0ade936d79c4e.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2477","Birthdays",,"2024-05-30 13:52:27","ddb81eb49f4d7159976dd4321f47e822.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2478","Meeting Gesture Gift",,"2024-05-30 13:53:37","04aa865e4c8b641142010459d02979b0.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2479","Earth day",,"2024-05-30 13:54:31","1cd1e8a9976e919db5d14a9cb3d8593b.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2480","Independence day",,"2024-05-30 13:55:21","c3e9c9d3b52deadd1abd06b808ba5dbc.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2481","Holiday & Travel Gifts ",,"2024-05-30 13:56:14","6255539a7870489c02f7763116ab42b8.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2482","Family Day ",,"2024-05-30 13:56:55","a580d33a4c0024446bd8322cc4d066ca.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2483","Foundation Day",,"2024-05-30 13:57:45","happy-japan-national-foundation-day-february-11th-celebration-design-illustration-template-for-poster-banner-advertising-greeting-card-or-print-design-element-vector.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2484","Diwali  gifts",,"2024-05-30 13:58:55","62e782edb374a0692397554908545d65.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2485","Christmas gifts",,"2024-05-30 14:00:02","Xmas.jpeg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2487","New Year Gifts",,"2024-05-30 14:00:56","NY.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2488","Holi  Gifts    ",,"2024-05-30 14:02:07","Holi.jpg","Admin",NULL,"2471","1","1","0","1","0",NULL
"2489","CXO Gifts ",,"2024-05-30 14:03:47","ThemepageTemplate (4)76653_190224122607.png","Admin",NULL,"2471","1","1","0","1","0",NULL
"2490","Single Wall Bottle, Sippers ",,"2024-06-02 04:30:01","6b3e02d24aad2804c0aebbc8d32f60ff.jpg","Admin",NULL,"2473","1","1","0","1","0",NULL
"2491","Insulated Bottle ",,"2024-06-02 04:31:02","1acea2b5018cbeb14d9cc26d3d0e64e7.jpg","Admin",NULL,"2473","1","1","0","1","0",NULL
"2492","Travel Mug & Tumbler ",,"2024-06-02 04:32:36","6ed06c95b5e7deca6c594ac171e03e9b.jpg","Admin",NULL,"2473","1","1","0","1","0",NULL
"2493","Ceramic Mug",,"2024-06-02 04:32:57","7d876194b9385b740ac23249524149c8.jpg","Admin",NULL,"2473","1","1","0","1","0",NULL
"2494","Bar Set",,"2024-06-02 04:33:19","d96b337c202bfa67af6a4638b5652e79.jpg","Admin",NULL,"2473","1","1","0","1","0",NULL
"2495","Copper Bottle Set",,"2024-06-02 04:33:39","B2BGifts_DW_70.jfif","Admin",NULL,"2473","1","1","0","1","0",NULL
"2496","Eco-Friendly Mug & Bottles",,"2024-06-29 02:41:00","816e238be840d8513cf85057ced07b58.jpg","Admin",NULL,"2473","0","0","0","0","1",NULL
"2497",,,"2024-07-08 08:52:04","B2B_EF_05.jpg","Admin",NULL,"0","1","1","26","1","1",NULL
"2498","Premium Diwali Gifts ","Hampers","2024-07-09 01:20:26","B2BGifts_GM_29.jpeg","Admin",NULL,"2498","1","1","0","1","1",NULL
"2499",,,"2024-07-29 05:41:12","B2BGifts_GM_29.jpeg","Admin",NULL,"0","1","1","27","1","1",NULL
"2500","Special hamper","Special hamper","2024-07-29 06:12:37","B2BGifts_GM_04.jpg","Admin",NULL,"2499","0","0","0","1","1",NULL
"2501",,"Hamper","2024-07-29 08:46:12","B2BGifts_GM_05.jpg","Admin",NULL,"0","1","1","28","1","1",NULL
"2502","Client Happiness Kit",,"2025-05-31 01:16:22","63f6ad252eaf2d4e650e8d5f9e0c3c1c.jpg","Admin",NULL,"2362","1","1","0","1","0",NULL
"2503","DeskTOP Gifts",,"2025-06-01 13:54:37","Class.php","Admin",NULL,"0","1","1","0","1","1",NULL
"2504","666","666","2025-11-07 18:59:49","Class.php","Admin",NULL,"2354","1","1","6","1","1",NULL
